NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth
SQ000236,squid_8,SQ241,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.93168
SQ000237,squid_8,SQ242,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.44728
SQ000238,squid_8,SQ243,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.2331
SQ000239,squid_8,SQ244,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.60343
SQ000240,squid_8,SQ245,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.66015
SQ000241,squid_8,SQ263,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,4.01122
SQ000242,squid_8,SQ266,NovaSeqX25B,California,NA,2207RL,55,34.35,-120.12,2.7194
SQ000183,NA,NA,NA,California,NA,2207RL,17,38.35,-123.25,NA
SQ000226,NA,NA,NA,California,NA,2207RL,73,32.96,-118.75,NA
SQ000243,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000244,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000245,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000246,NA,NA,NA,California,NA,2207RL,55,34.35,-120.12,NA
SQ000247,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000248,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000249,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000250,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000251,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000252,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000253,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
SQ000254,NA,NA,NA,California,3/22/21,2104RL,5,33.92,-123.37,NA
