NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth,
SQ000132,squid_7,SQ128,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.54641,
SQ000133,squid_7,SQ129,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.74606,
SQ000088,squid_4,SQ72,NovaSeq6000,California,8/3/22,2207RL,25,37.106,-122.5427,5.09144,
SQ000089,squid_5,SQ77,NovaSeq6000,California,8/3/22,2207RL,25,37.106,-122.5427,2.91369,
SQ000090,squid_5,SQ78,NovaSeq6000,California,8/3/22,2207RL,25,37.106,-122.5427,3.27423,
SQ000091,squid_5,SQ92,NovaSeq6000,California,8/3/22,2207RL,25,37.106,-122.5427,8.21409,
SQ000150,squid_7,SQ146,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.35512,
SQ000151,squid_7,SQ147,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,3.0765,
SQ000152,squid_7,SQ148,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.43942,
SQ000153,squid_7,SQ149,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.76015,
SQ000154,squid_7,SQ150,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.97853,
SQ000155,squid_7,SQ151,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.91629,
SQ000156,squid_7,SQ152,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.05911,
SQ000157,squid_7,SQ153,NovaSeqX25B,California,8/3/22,2207RL,25,37.106,-122.5427,2.39799,
SQ000059,squid_3,SQ47,NovaSeq6000,California,8/3/22,2207RL,26,36.9343,-122.5208,5.93573,
SQ000060,squid_3,SQ48,NovaSeq6000,California,8/3/22,2207RL,26,36.9343,-122.5208,6.49401,
SQ000061,squid_3,SQ49,NovaSeq6000,California,8/3/22,2207RL,26,36.9343,-122.5208,5.73746,
SQ000084,squid_4,SQ68,NovaSeq6000,California,3/30/21,2103RL,26,34.2082,-119.4707,7.29129,
SQ000085,squid_4,SQ69,NovaSeq6000,California,3/30/21,2103RL,26,34.2082,-119.4707,7.12397,
SQ000086,squid_4,SQ70,NovaSeq6000,California,3/30/21,2103RL,26,34.2082,-119.4707,6.62103,
SQ000087,squid_4,SQ71,NovaSeq6000,California,3/30/21,2103RL,26,34.2082,-119.4707,7.50004,
SQ000062,squid_5,SQ89,NovaSeq6000,California,8/3/22,2207RL,26,36.9343,-122.5208,7.60416,
SQ000231,squid_8,SQ237,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,2.71424,
SQ000232,squid_8,SQ238,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,2.75413,
SQ000233,squid_8,SQ239,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,3.37933,
SQ000234,squid_8,SQ265,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,2.30918,
SQ000235,squid_8,SQ240,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,2.60948,
SQ000236,squid_8,SQ241,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,2.93168,
SQ000237,squid_8,SQ242,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,3.44728,
SQ000238,squid_8,SQ243,NovaSeqX25B,California,3/30/21,2103RL,26,34.2082,-119.4707,3.2331,
SQ000010,squid_1,SQ4,NovaSeq6000,California,8/29/22,2207RL,36,33.2597,-118.8295,8.05104,
SQ000011,squid_1,SQ7,NovaSeq6000,California,8/29/22,2207RL,36,33.2597,-118.8295,4.50047,
SQ000012,squid_1,SQ8,NovaSeq6000,California,8/29/22,2207RL,36,33.2597,-118.8295,3.59474,
SQ000030,squid_2,SQ29,NovaSeq6000,California,8/30/22,2207RL,39,33.3032,-117.5723,5.9125,
SQ000031,squid_2,SQ30,NovaSeq6000,California,8/30/22,2207RL,39,33.3032,-117.5723,5.53425,
SQ000032,squid_2,SQ31,NovaSeq6000,California,8/30/22,2207RL,39,33.3032,-117.5723,6.61783,
SQ000033,squid_5,SQ85,NovaSeq6000,California,8/30/22,2207RL,39,33.3032,-117.5723,8.5106,
SQ000142,squid_7,SQ138,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,2.73803,
SQ000143,squid_7,SQ139,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,3.94852,
SQ000144,squid_7,SQ140,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,2.60579,
SQ000145,squid_7,SQ141,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,3.12556,
SQ000146,squid_7,SQ142,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,3.29496,
SQ000147,squid_7,SQ143,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,2.67863,
SQ000148,squid_7,SQ144,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,2.81513,
SQ000149,squid_7,SQ145,NovaSeqX25B,California,8/30/22,2207RL,39,33.3032,-117.5723,3.0887,
SQ000026,squid_2,SQ26,NovaSeq6000,California,9/13/22,2207RL,40,36.5622,-122.0148,5.14261,
SQ000028,squid_2,SQ28,NovaSeq6000,California,9/13/22,2207RL,40,36.5622,-122.0148,4.90271,
SQ000194,squid_8,SQ189,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.79596,
SQ000195,squid_8,SQ190,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.69,
SQ000196,squid_8,SQ197,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.67001,
SQ000197,squid_8,SQ198,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.65212,
SQ000198,squid_8,SQ199,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.29055,
SQ000199,squid_8,SQ204,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.24034,
SQ000200,squid_8,SQ205,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,1.74033,
SQ000201,squid_8,SQ191,NovaSeqX25B,California,9/13/22,2207RL,40,36.5622,-122.0148,2.376,
SQ000097,squid_6,SQ96,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,5.30508,
SQ000098,squid_6,SQ97,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,8.55567,
SQ000099,squid_6,SQ98,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,5.36051,
SQ000108,squid_6,SQ103,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,7.59511,
SQ000109,squid_6,SQ104,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,7.83662,
SQ000110,squid_6,SQ107,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,6.90694,
SQ000111,squid_6,SQ108,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,7.02289,
SQ000112,squid_6,SQ109,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,6.2077,
SQ000113,squid_6,SQ110,NovaSeq6000,California,9/15/22,2207RL,46,34.8897,-121.4077,6.80246,
SQ000096,squid_7,SQ95,NovaSeqX25B,California,9/15/22,2207RL,46,34.8897,-121.4077,2.59139,
SQ000114,squid_7,SQ111,NovaSeqX25B,California,9/15/22,2207RL,46,34.8897,-121.4077,2.13519,
SQ000115,squid_7,SQ112,NovaSeqX25B,California,9/15/22,2207RL,46,34.8897,-121.4077,2.09253,
SQ000013,squid_1,SQ13,NovaSeq6000,California,9/16/22,2207RL,49,34.5043,-120.6655,6.99044,
SQ000014,squid_1,SQ14,NovaSeq6000,California,9/16/22,2207RL,49,34.5043,-120.6655,7.76893,
SQ000015,squid_1,SQ15,NovaSeq6000,California,9/16/22,2207RL,49,34.5043,-120.6655,6.91422,
SQ000016,squid_1,SQ16,NovaSeq6000,California,9/16/22,2207RL,49,34.5043,-120.6655,6.81508,
SQ000017,squid_1,SQ17,NovaSeq6000,California,9/16/22,2207RL,49,34.5043,-120.6655,5.84985,
SQ000203,squid_8,SQ193,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,2.43215,
SQ000204,squid_8,SQ206,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,1.98642,
SQ000205,squid_8,SQ207,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,1.97246,
SQ000206,squid_8,SQ208,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,2.55759,
SQ000207,squid_8,SQ209,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,1.9397,
SQ000208,squid_8,SQ210,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,1.67774,
SQ000209,squid_8,SQ211,NovaSeqX25B,California,9/16/22,2207RL,49,34.5043,-120.6655,2.37176,
SQ000022,squid_2,SQ22,NovaSeq6000,California,9/17/22,2207RL,52,34.3388,-119.718,8.66039,
SQ000023,squid_2,SQ23,NovaSeq6000,California,9/17/22,2207RL,52,34.3388,-119.718,7.84857,
SQ000024,squid_2,SQ24,NovaSeq6000,California,9/17/22,2207RL,52,34.3388,-119.718,9.32428,
SQ000025,squid_2,SQ25,NovaSeq6000,California,9/17/22,2207RL,52,34.3388,-119.718,8.07692,
SQ000210,squid_8,SQ194,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.30931,
SQ000211,squid_8,SQ212,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.02974,
SQ000212,squid_8,SQ213,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.40648,
SQ000213,squid_8,SQ214,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.09354,
SQ000214,squid_8,SQ215,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.40239,
SQ000215,squid_8,SQ218,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.24427,
SQ000216,squid_8,SQ219,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.22654,
SQ000217,squid_8,SQ220,NovaSeqX25B,California,9/17/22,2207RL,52,34.3388,-119.718,2.87708,
SQ000018,squid_1,SQ18,NovaSeq6000,California,9/18/22,2207RL,55,34.1182,-120.6113,7.13861,
SQ000019,squid_2,SQ19,NovaSeq6000,California,9/18/22,2207RL,55,34.1182,-120.6113,7.81319,
SQ000020,squid_2,SQ20,NovaSeq6000,California,9/18/22,2207RL,55,34.1182,-120.6113,7.46496,
SQ000021,squid_2,SQ21,NovaSeq6000,California,9/18/22,2207RL,55,34.1182,-120.6113,8.51909,
SQ000239,squid_8,SQ244,NovaSeqX25B,California,9/18/22,2207RL,55,34.1182,-120.6113,2.60343,
SQ000240,squid_8,SQ245,NovaSeqX25B,California,9/18/22,2207RL,55,34.1182,-120.6113,2.66015,
SQ000241,squid_8,SQ263,NovaSeqX25B,California,9/18/22,2207RL,55,34.1182,-120.6113,4.01122,
SQ000242,squid_8,SQ266,NovaSeqX25B,California,9/18/22,2207RL,55,34.1182,-120.6113,2.7194,
SQ000243,none,none,Prepped,California,9/18/22,2207RL,55,34.1182,-120.6113,,
SQ000244,none,none,Prepped,California,9/18/22,2207RL,55,34.1182,-120.6113,,
SQ000245,none,none,Prepped,California,9/18/22,2207RL,55,34.1182,-120.6113,,
SQ000246,none,none,Prepped,California,9/18/22,2207RL,55,34.1182,-120.6113,,
SQ000051,squid_3,SQ38,NovaSeq6000,California,9/20/22,2207RL,61,33.3853,-120.6057,5.12259,
SQ000052,squid_3,SQ39,NovaSeq6000,California,9/20/22,2207RL,61,33.3853,-120.6057,5.05421,
SQ000053,squid_3,SQ40,NovaSeq6000,California,9/20/22,2207RL,61,33.3853,-120.6057,5.04952,
SQ000054,squid_3,SQ41,NovaSeq6000,California,9/20/22,2207RL,61,33.3853,-120.6057,5.69463,
SQ000166,squid_7,SQ162,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.23875,
SQ000167,squid_7,SQ163,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.47323,
SQ000168,squid_7,SQ164,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.71961,
SQ000169,squid_7,SQ165,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.33809,
SQ000170,squid_7,SQ166,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.90163,
SQ000171,squid_7,SQ167,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.50738,
SQ000172,squid_7,SQ168,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.66828,
SQ000173,squid_7,SQ169,NovaSeqX25B,California,9/20/22,2207RL,61,33.3853,-120.6057,2.0005,
SQ000005,squid_1,SQ5,NovaSeq6000,California,9/22/22,2207RL,67,33.2438,-118.8983,4.52132,
SQ000006,squid_1,SQ6,NovaSeq6000,California,9/22/22,2207RL,67,33.2438,-118.8983,4.61265,
SQ000009,squid_1,SQ3,NovaSeq6000,California,9/22/22,2207RL,67,33.2438,-118.8983,8.20102,
SQ000007,squid_5,SQ83,NovaSeq6000,California,9/22/22,2207RL,67,33.2438,-118.8983,8.16748,
SQ000008,squid_5,SQ84,NovaSeq6000,California,9/22/22,2207RL,67,33.2438,-118.8983,8.30537,
SQ000039,squid_1,SQ10,NovaSeq6000,California,9/24/22,2207RL,73,32.9618,-118.7458,7.06949,
SQ000040,squid_1,SQ11,NovaSeq6000,California,9/24/22,2207RL,73,32.9618,-118.7458,6.37546,
SQ000041,squid_1,SQ12,NovaSeq6000,California,9/24/22,2207RL,73,32.9618,-118.7458,8.44385,
SQ000042,squid_1,SQ9,NovaSeq6000,California,9/24/22,2207RL,73,32.9618,-118.7458,5.3255,
SQ000038,squid_5,SQ86,NovaSeq6000,California,9/24/22,2207RL,73,32.9618,-118.7458,7.67436,
SQ000224,squid_8,SQ230,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.67478,
SQ000225,squid_8,SQ231,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.26475,
SQ000227,squid_8,SQ233,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.48469,
SQ000228,squid_8,SQ234,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.63396,
SQ000229,squid_8,SQ235,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.26019,
SQ000230,squid_8,SQ236,NovaSeqX25B,California,9/24/22,2207RL,73,32.9618,-118.7458,2.2736,
SQ000226,none,none,Prepped,California,9/24/22,2207RL,73,32.9618,-118.7458,,
SQ000001,squid_1,SQ1,NovaSeq6000,California,7/2/14,Monterey (525),,,,6.89545,
SQ000004,squid_1,SQ2,NovaSeq6000,California,7/2/14,Monterey (525),,,,6.51541,
SQ000043,squid_2,SQ32,NovaSeq6000,Alaska,3/15/17,Sitka,,,,5.32606,
SQ000044,squid_2,SQ33,NovaSeq6000,Alaska,3/15/17,Sitka,,,,5.15222,
SQ000045,squid_3,SQ42,NovaSeq6000,Alaska,3/15/17,Sitka,,,,5.52174,
SQ000048,squid_4,SQ75,NovaSeq6000,Alaska,5/7/17,Sitka,,,,5.57169,
SQ000002,squid_5,SQ81,NovaSeq6000,California,7/2/14,Monterey (525),,,,6.44883,
SQ000003,squid_5,SQ82,NovaSeq6000,California,7/2/14,Monterey (525),,,,6.77426,
SQ000046,squid_5,SQ87,NovaSeq6000,Alaska,3/15/17,Sitka,,,,8.12591,
SQ000049,squid_5,SQ76,NovaSeq6000,Alaska,5/7/17,Sitka,,,,3.64416,
SQ000050,squid_5,SQ88,NovaSeq6000,Alaska,5/7/17,Sitka,,,,7.22985,
SQ000100,squid_6,SQ106,NovaSeq6000,Alaska,1/1/19,Sitka,,,,5.75948,
SQ000102,squid_6,SQ171,NovaSeq6000,Alaska,1/1/19,Sitka,,,,7.12329,
SQ000125,squid_6,SQ172,NovaSeq6000,Alaska,1/1/19,Sitka,,,,6.52733,
SQ000175,squid_6,SQ173,NovaSeq6000,Alaska,5/7/17,Sitka,,,,8.33525,
SQ000101,squid_7,SQ195,NovaSeqX25B,Alaska,1/1/19,Sitka,,,,0.447928,
SQ000103,squid_7,SQ196,NovaSeqX25B,Alaska,1/1/19,Sitka,,,,2.19464,
